Date,Investment,Transaction Type,Amount,Shares/Unit,Purchase Price,Shares,Type
1/20/2012,NYVTX,Exchanges,-56.21,-1.639,34.29530201,1.639,sell
1/20/2012,RMCVX,Exchanges,-37.94,-4.96,7.649193548,4.96,sell
1/20/2012,PVADX,Exchanges,18.27,0.636,28.72641509,0.636,sell
1/20/2012,RBGLX,Exchanges,48.65,3.58,13.58938547,3.58,sell
12/14/2011,FSEVX,Exchanges,-19.09,-0.551,34.646098,0.551,sell
12/14/2011,GGOIX,Exchanges,-29.86,-1.405,21.25266904,1.405,sell
12/14/2011,FCPGX,Exchanges,-15.45,-1.085,14.23963134,1.085,sell
12/14/2011,FRESX,Exchanges,-43.45,-1.666,26.08043217,1.666,sell
12/14/2011,FIGRX,Exchanges,250.85,9.42,26.62951168,9.42,sell
12/14/2011,FFFFX,Exchanges,-2.76,-0.374,7.379679144,0.374,sell
12/14/2011,NYVTX,Exchanges,-47.97,-1.524,31.47637795,1.524,sell
12/14/2011,RMCVX,Exchanges,4.08,0.587,6.950596252,0.587,sell
12/14/2011,PVADX,Exchanges,-65.95,-2.387,27.62882279,2.387,sell
12/14/2011,RBGLX,Exchanges,-30.4,-2.424,12.54125413,2.424,sell
10/24/2011,FSEVX,Exchanges,44.1,1.214,36.3261944,1.214,sell
10/24/2011,GGOIX,Exchanges,-17.52,-0.747,23.45381526,0.747,sell
10/24/2011,FCPGX,Exchanges,71.55,4.692,15.24936061,4.692,sell
10/24/2011,FRESX,Exchanges,-177.6,-6.637,26.7590779,6.637,sell
10/24/2011,FIGRX,Exchanges,373.75,12.636,29.5781893,12.636,sell
10/24/2011,FFFFX,Exchanges,-48.06,-6.24,7.701923077,6.24,sell
10/24/2011,NYVTX,Exchanges,6.66,0.204,32.64705882,0.204,sell
10/24/2011,RMCVX,Exchanges,198.06,26.984,7.339905129,26.984,sell
10/24/2011,PVADX,Exchanges,-198.8,-6.898,28.81994781,6.898,sell
10/24/2011,RBGLX,Exchanges,-252.14,-19.073,13.2197347,19.073,sell
9/1/2011,GGOIX,Exchanges,"1,355.14",60.47,22.41012072,60.47,sell
